date,code
2013-09-13,2078
2013-09-13,2090
2013-09-13,2092
2013-09-13,2126
2013-09-13,2219
2013-09-13,2226
2013-09-13,2228
2013-09-13,2283
2013-09-13,2287
2013-09-13,2317
2013-09-13,2386
2013-09-13,2564
2013-09-13,2583
2013-09-13,2649
2013-09-13,300284
2013-09-16,600020
2013-09-16,600037
2013-09-16,600050
2013-09-16,600060
2013-09-16,600138
2013-09-16,600195
2013-09-16,600271
2013-09-16,600290
2013-09-16,600307
2013-09-16,600350
2013-09-16,600456
2013-09-16,600460
2013-09-16,600498
2013-09-16,600500
2013-09-16,600584
2013-09-16,600587
2013-09-16,600600
2013-09-16,600635
2013-09-16,600643
2013-09-16,600718
2013-09-16,600747
2013-09-16,600761
2013-09-16,600816
2013-09-16,600830
2013-09-16,600881
2013-09-16,600886
2013-09-16,601088
2013-09-16,601179
2013-09-16,601588
2013-09-16,42
2013-09-16,46
2013-09-16,59
2013-09-16,301
2013-09-16,539
2013-09-16,550
2013-09-16,563
2013-09-16,612
2013-09-16,726
2013-09-16,823
2013-09-16,839
2013-09-16,918
2013-09-16,961
2013-09-16,2007
2013-09-16,2078
2013-09-16,2090
2013-09-16,2092
2013-09-16,2126
2013-09-16,2219
2013-09-16,2226
2013-09-16,2228
2013-09-16,2283
2013-09-16,2287
2013-09-16,2317
2013-09-16,2386
2013-09-16,2564
2013-09-16,2583
2013-09-16,2649
2013-09-16,300284
2013-09-17,600020
2013-09-17,600037
2013-09-17,600050
2013-09-17,600060
2013-09-17,600138
2013-09-17,600195
2013-09-17,600271
2013-09-17,600290
2013-09-17,600307
2013-09-17,600350
2013-09-17,600456
2013-09-17,600460
2013-09-17,600498
2013-09-17,600500
2013-09-17,600584
2013-09-17,600587
2013-09-17,600600
2013-09-17,600635
2013-09-17,600643
2013-09-17,600718
2013-09-17,600747
2013-09-17,600761
2013-09-17,600816
2013-09-17,600830
2013-09-17,600881
2013-09-17,600886
2013-09-17,601088
2013-09-17,601179
2013-09-17,601588
2013-09-17,42
2013-09-17,46
2013-09-17,59
2013-09-17,301
2013-09-17,539
2013-09-17,550
2013-09-17,563
2013-09-17,612
2013-09-17,726
2013-09-17,823
2013-09-17,839
2013-09-17,918
2013-09-17,961
2013-09-17,2007
2013-09-17,2078
2013-09-17,2090
2013-09-17,2092
2013-09-17,2126
2013-09-17,2219
2013-09-17,2226
2013-09-17,2228
2013-09-17,2283
2013-09-17,2287
2013-09-17,2317
2013-09-17,2386
2013-09-17,2564
2013-09-17,2583
2013-09-17,2649
2013-09-17,300284
2013-09-18,600006
2013-09-18,600020
2013-09-18,600050
2013-09-18,600062
2013-09-18,600069
2013-09-18,600121
2013-09-18,600195
2013-09-18,600258
2013-09-18,600271
2013-09-18,600332
2013-09-18,600350
2013-09-18,600375
2013-09-18,600380
2013-09-18,600432
2013-09-18,600460
2013-09-18,600551
2013-09-18,600584
2013-09-18,600587
2013-09-18,600635
2013-09-18,600643
2013-09-18,600718
2013-09-18,600724
2013-09-18,600747
2013-09-18,600816
2013-09-18,600830
2013-09-18,600859
2013-09-18,600873
2013-09-18,600881
2013-09-18,601588
2013-09-18,601991
2013-09-18,31
2013-09-18,46
2013-09-18,59
2013-09-18,301
2013-09-18,533
2013-09-18,539
2013-09-18,550
2013-09-18,563
2013-09-18,612
2013-09-18,726
2013-09-18,761
2013-09-18,786
2013-09-18,823
2013-09-18,839
2013-09-18,950
2013-09-18,2078
2013-09-18,2090
2013-09-18,2097
2013-09-18,2226
2013-09-18,2244
2013-09-18,2276
2013-09-18,2283
2013-09-18,2308
2013-09-18,2386
2013-09-18,2393
2013-09-18,2452
2013-09-18,2583
2013-09-18,300079
2013-09-23,600006
2013-09-23,600020
2013-09-23,600050
2013-09-23,600062
2013-09-23,600069
2013-09-23,600121
2013-09-23,600195
2013-09-23,600258
2013-09-23,600271
2013-09-23,600332
2013-09-23,600350
2013-09-23,600375
2013-09-23,600380
2013-09-23,600432
2013-09-23,600460
2013-09-23,600551
2013-09-23,600584
2013-09-23,600587
2013-09-23,600635
2013-09-23,600643
2013-09-23,600718
2013-09-23,600724
2013-09-23,600747
2013-09-23,600816
2013-09-23,600830
2013-09-23,600859
2013-09-23,600873
2013-09-23,600881
2013-09-23,601588
2013-09-23,601991
2013-09-23,31
2013-09-23,46
2013-09-23,59
2013-09-23,301
2013-09-23,533
2013-09-23,539
2013-09-23,550
2013-09-23,563
2013-09-23,612
2013-09-23,726
2013-09-23,761
2013-09-23,786
2013-09-23,823
2013-09-23,839
2013-09-23,950
2013-09-23,2078
2013-09-23,2090
2013-09-23,2097
2013-09-23,2226
2013-09-23,2244
2013-09-23,2276
2013-09-23,2283
2013-09-23,2308
2013-09-23,2386
2013-09-23,2393
2013-09-23,2452
2013-09-23,2583
2013-09-23,300079
2013-09-24,600006
2013-09-24,600020
2013-09-24,600050
2013-09-24,600062
2013-09-24,600069
2013-09-24,600121
2013-09-24,600195
2013-09-24,600258
2013-09-24,600271
2013-09-24,600332
2013-09-24,600350
2013-09-24,600375
2013-09-24,600380
2013-09-24,600432
2013-09-24,600460
2013-09-24,600551
2013-09-24,600584
2013-09-24,600587
2013-09-24,600635
2013-09-24,600643
2013-09-24,600718
2013-09-24,600724
2013-09-24,600747
2013-09-24,600816
2013-09-24,600830
2013-09-24,600859
2013-09-24,600873
2013-09-24,600881
2013-09-24,601588
2013-09-24,601991
2013-09-24,31
2013-09-24,46
2013-09-24,59
2013-09-24,301
2013-09-24,533
2013-09-24,539
2013-09-24,550
2013-09-24,563
2013-09-24,612
2013-09-24,726
2013-09-24,761
2013-09-24,786
2013-09-24,823
2013-09-24,839
2013-09-24,950
2013-09-24,2078
2013-09-24,2090
2013-09-24,2097
2013-09-24,2226
2013-09-24,2244
2013-09-24,2276
2013-09-24,2283
2013-09-24,2308
2013-09-24,2386
2013-09-24,2393
2013-09-24,2452
2013-09-24,2583
2013-09-24,300079
2013-09-25,600006
2013-09-25,600020
2013-09-25,600050
2013-09-25,600062
2013-09-25,600069
2013-09-25,600121
2013-09-25,600195
2013-09-25,600258
2013-09-25,600271
2013-09-25,600332
2013-09-25,600350
2013-09-25,600375
2013-09-25,600380
2013-09-25,600432
2013-09-25,600460
2013-09-25,600551
2013-09-25,600584
2013-09-25,600587
2013-09-25,600635
2013-09-25,600643
2013-09-25,600718
2013-09-25,600724
2013-09-25,600747
2013-09-25,600816
2013-09-25,600830
2013-09-25,600859
2013-09-25,600873
2013-09-25,600881
2013-09-25,601588
2013-09-25,601991
2013-09-25,31
2013-09-25,46
2013-09-25,59
2013-09-25,301
2013-09-25,533
2013-09-25,539
2013-09-25,550
2013-09-25,563
2013-09-25,612
2013-09-25,726
2013-09-25,761
2013-09-25,786
2013-09-25,823
2013-09-25,839
2013-09-25,950
2013-09-25,2078
2013-09-25,2090
2013-09-25,2097
2013-09-25,2226
2013-09-25,2244
2013-09-25,2276
2013-09-25,2283
2013-09-25,2308
2013-09-25,2386
2013-09-25,2393
2013-09-25,2452
2013-09-25,2583
2013-09-25,300079
2013-09-26,600006
2013-09-26,600020
2013-09-26,600050
2013-09-26,600062
2013-09-26,600069
2013-09-26,600121
2013-09-26,600195
2013-09-26,600258
2013-09-26,600271
2013-09-26,600332
2013-09-26,600350
2013-09-26,600375
2013-09-26,600380
2013-09-26,600432
2013-09-26,600460
2013-09-26,600551
2013-09-26,600584
2013-09-26,600587
2013-09-26,600635
2013-09-26,600643
2013-09-26,600718
2013-09-26,600724
2013-09-26,600747
2013-09-26,600816
2013-09-26,600830
2013-09-26,600859
2013-09-26,600873
2013-09-26,600881
2013-09-26,601588
2013-09-26,601991
2013-09-26,31
2013-09-26,46
2013-09-26,59
2013-09-26,301
2013-09-26,533
2013-09-26,539
2013-09-26,550
2013-09-26,563
2013-09-26,612
2013-09-26,726
2013-09-26,761
2013-09-26,786
2013-09-26,823
2013-09-26,839
2013-09-26,950
2013-09-26,2078
2013-09-26,2090
2013-09-26,2097
2013-09-26,2226
2013-09-26,2244
2013-09-26,2276
2013-09-26,2283
2013-09-26,2308
2013-09-26,2386
2013-09-26,2393
2013-09-26,2452
2013-09-26,2583
2013-09-26,300079
2013-09-27,600006
2013-09-27,600050
2013-09-27,600062
2013-09-27,600067
2013-09-27,600191
2013-09-27,600269
2013-09-27,600271
2013-09-27,600312
2013-09-27,600337
2013-09-27,600396
2013-09-27,600432
2013-09-27,600460
2013-09-27,600522
2013-09-27,600551
2013-09-27,600584
2013-09-27,600611
2013-09-27,600623
2013-09-27,600635
2013-09-27,600643
2013-09-27,600718
2013-09-27,600720
2013-09-27,600724
2013-09-27,600747
2013-09-27,600754
2013-09-27,600816
2013-09-27,600830
2013-09-27,600873
2013-09-27,601001
2013-09-27,601991
2013-09-27,46
2013-09-27,59
2013-09-27,301
2013-09-27,521
2013-09-27,550
2013-09-27,563
2013-09-27,572
2013-09-27,589
2013-09-27,612
2013-09-27,761
2013-09-27,786
2013-09-27,823
2013-09-27,830
2013-09-27,839
2013-09-27,850
2013-09-27,948
2013-09-27,961
2013-09-27,2007
2013-09-27,2046
2013-09-27,2078
2013-09-27,2090
2013-09-27,2097
2013-09-27,2187
2013-09-27,2244
2013-09-27,2262
2013-09-27,2276
2013-09-27,300015
2013-09-27,300039
2013-09-27,300079
2013-09-30,600006
2013-09-30,600050
2013-09-30,600067
2013-09-30,600069
2013-09-30,600079
2013-09-30,600191
2013-09-30,600252
2013-09-30,600269
2013-09-30,600271
2013-09-30,600432
2013-09-30,600460
2013-09-30,600522
2013-09-30,600551
2013-09-30,600584
2013-09-30,600601
2013-09-30,600611
2013-09-30,600623
2013-09-30,600633
2013-09-30,600635
2013-09-30,600643
2013-09-30,600720
2013-09-30,600747
2013-09-30,600754
2013-09-30,600816
2013-09-30,600830
2013-09-30,600839
2013-09-30,601001
2013-09-30,601098
2013-09-30,601991
2013-09-30,46
2013-09-30,59
2013-09-30,301
2013-09-30,539
2013-09-30,563
2013-09-30,572
2013-09-30,589
2013-09-30,596
2013-09-30,761
2013-09-30,786
2013-09-30,823
2013-09-30,830
2013-09-30,839
2013-09-30,850
2013-09-30,918
2013-09-30,951
2013-09-30,961
2013-09-30,969
2013-09-30,990
2013-09-30,2007
2013-09-30,2046
2013-09-30,2078
2013-09-30,2090
2013-09-30,2097
2013-09-30,2187
2013-09-30,2244
2013-09-30,2276
2013-09-30,2294
2013-09-30,300069
2013-10-08,600006
2013-10-08,600050
2013-10-08,600067
2013-10-08,600069
2013-10-08,600079
2013-10-08,600191
2013-10-08,600252
2013-10-08,600269
2013-10-08,600271
2013-10-08,600432
2013-10-08,600460
2013-10-08,600522
2013-10-08,600551
2013-10-08,600584
2013-10-08,600601
2013-10-08,600611
2013-10-08,600623
2013-10-08,600633
2013-10-08,600635
2013-10-08,600643
2013-10-08,600720
2013-10-08,600747
2013-10-08,600754
2013-10-08,600816
2013-10-08,600830
2013-10-08,600839
2013-10-08,601001
2013-10-08,601098
2013-10-08,601991
2013-10-08,46
2013-10-08,59
2013-10-08,301
2013-10-08,539
2013-10-08,563
2013-10-08,572
2013-10-08,589
2013-10-08,596
2013-10-08,761
2013-10-08,786
2013-10-08,823
2013-10-08,830
2013-10-08,839
2013-10-08,850
2013-10-08,918
2013-10-08,951
2013-10-08,961
2013-10-08,969
2013-10-08,990
2013-10-08,2007
2013-10-08,2046
2013-10-08,2078
2013-10-08,2090
2013-10-08,2097
2013-10-08,2187
2013-10-08,2244
2013-10-08,2276
2013-10-08,2294
2013-10-08,300069
2013-10-09,600006
2013-10-09,600050
2013-10-09,600067
2013-10-09,600069
2013-10-09,600079
2013-10-09,600191
2013-10-09,600252
2013-10-09,600269
2013-10-09,600271
2013-10-09,600432
2013-10-09,600460
2013-10-09,600522
2013-10-09,600551
2013-10-09,600584
2013-10-09,600601
2013-10-09,600611
2013-10-09,600623
2013-10-09,600633
2013-10-09,600635
2013-10-09,600643
2013-10-09,600720
2013-10-09,600747
2013-10-09,600754
2013-10-09,600816
2013-10-09,600830
2013-10-09,600839
2013-10-09,601001
2013-10-09,601098
2013-10-09,601991
2013-10-09,46
2013-10-09,59
2013-10-09,301
2013-10-09,539
2013-10-09,563
2013-10-09,572
2013-10-09,589
2013-10-09,596
2013-10-09,761
2013-10-09,786
2013-10-09,823
2013-10-09,830
2013-10-09,839
2013-10-09,850
2013-10-09,918
2013-10-09,951
2013-10-09,961
2013-10-09,969
2013-10-09,990
2013-10-09,2007
2013-10-09,2046
2013-10-09,2078
2013-10-09,2090
2013-10-09,2097
2013-10-09,2187
2013-10-09,2244
2013-10-09,2276
2013-10-09,2294
2013-10-09,300069
2013-10-10,600006
2013-10-10,600050
2013-10-10,600067
2013-10-10,600069
2013-10-10,600079
2013-10-10,600191
2013-10-10,600252
2013-10-10,600269
2013-10-10,600271
2013-10-10,600432
2013-10-10,600460
2013-10-10,600522
2013-10-10,600551
2013-10-10,600584
2013-10-10,600601
2013-10-10,600611
2013-10-10,600623
2013-10-10,600633
2013-10-10,600635
2013-10-10,600643
2013-10-10,600720
2013-10-10,600747
2013-10-10,600754
2013-10-10,600816
2013-10-10,600830
2013-10-10,600839
2013-10-10,601001
2013-10-10,601098
2013-10-10,601991
2013-10-10,46
2013-10-10,59
2013-10-10,301
2013-10-10,539
2013-10-10,563
2013-10-10,572
2013-10-10,589
2013-10-10,596
2013-10-10,761
2013-10-10,786
2013-10-10,823
2013-10-10,830
2013-10-10,839
2013-10-10,850
2013-10-10,918
2013-10-10,951
2013-10-10,961
2013-10-10,969
2013-10-10,990
2013-10-10,2007
2013-10-10,2046
2013-10-10,2078
2013-10-10,2090
2013-10-10,2097
2013-10-10,2187
2013-10-10,2244
2013-10-10,2276
2013-10-10,2294
2013-10-10,300069
2013-10-11,600006
2013-10-11,600050
2013-10-11,600067
2013-10-11,600191
2013-10-11,600252
2013-10-11,600269
2013-10-11,600271
2013-10-11,600295
2013-10-11,600551
2013-10-11,600584
2013-10-11,600585
2013-10-11,600601
2013-10-11,600623
2013-10-11,600635
2013-10-11,600643
2013-10-11,600747
2013-10-11,600748
2013-10-11,600749
2013-10-11,600776
2013-10-11,600782
2013-10-11,600816
2013-10-11,600830
2013-10-11,600880
2013-10-11,600881
2013-10-11,600987
2013-10-11,601000
2013-10-11,601098
2013-10-11,601727
2013-10-11,601991
2013-10-11,301
2013-10-11,402
2013-10-11,521
2013-10-11,563
2013-10-11,572
2013-10-11,589
2013-10-11,596
2013-10-11,601
